price,quantity,timestamp,side
1976.47,1.706,1771744406.0,bid
1976.29,0.435,1771744379.0,bid
1976.27,0.583,1771744405.0,bid
1976.18,2.531,1771744396.0,bid
1976.17,12.651,1771744397.0,bid
1976.1,0.506,1771744397.0,bid
1976.09,0.82,1771744398.0,bid
1976.08,2.759,1771744408.0,bid
1976.06,10.119,1771744363.0,bid
1976.05,13.155,1771744406.0,bid
1976.04,3.871,1771744363.0,bid
1976.03,5.06,1771744405.0,bid
1976.02,15.179,1771744409.0,bid
1975.99,25.304,1771744393.0,bid
1975.93,25.305,1771744372.0,bid
1975.88,0.583,1771744352.0,bid
1975.86,15.177,1771744396.0,bid
1975.81,25.307,1771744390.0,bid
1975.76,5.067,1771744406.0,bid
1975.75,25.307,1771744406.0,bid
1975.72,0.011,1771744363.0,bid
1975.68,10.558,1771744407.0,bid
1975.63,1.702,1771744382.0,bid
1975.62,2.837,1771744367.0,bid
1975.56,0.583,1771744364.0,bid
1975.54,0.578,1771744402.0,bid
1975.49,1.28,1771744367.0,bid
1975.43,0.728,1771744398.0,bid
1975.38,0.47,1771744363.0,bid
1975.36,0.583,1771744310.0,bid
1975.3,46.343,1771744406.0,bid
1975.29,40.841,1771744406.0,bid
1975.28,3.544,1771744367.0,bid
1975.27,1.519,1771744402.0,bid
1975.23,126.568,1771744385.0,bid
1975.21,50.615,1771744346.0,bid
1975.18,5.065,1771744401.0,bid
1975.12,15.352,1771744407.0,bid
1975.1,5.163,1771744397.0,bid
1975.03,126.58,1771744246.0,bid
1975.02,19.732,1771744267.0,bid
1974.99,0.583,1771744372.0,bid
1974.96,0.307,1771744367.0,bid
1974.89,0.99,1771744354.0,bid
1974.88,10.13,1771744350.0,bid
1974.78,0.583,1771744304.0,bid
1974.77,2.532,1771744401.0,bid
1974.73,0.905,1771744404.0,bid
1974.59,0.229,1771744294.0,bid
1974.49,0.102,1771744345.0,bid
